"product_id","product_name","update_id","title","file","link","file_size","stick","category_id","created_at","updated_at"
"95","Ugoos SK4","319","Android 14 Ugoos SK4 Firmware v. 2.0.5","","https://mega.nz/file/3wdVBQRa#WxNOeshgKL7EhYgMZFCev8MPC2aowtiDcroEjMwqqSE","1.06Gb","7z","1","2025-12-17 09:20:20","2025-12-17 09:20:20"
"95","Ugoos SK4","314","Android 14 Ugoos SK4 Firmware v. 2.0.4","","https://mega.nz/file/GpVn1AQB#-5KGBKspVxVRq-RMDbtE-cbn2DX_x2jJ-RNfEml68VE","1.06Gb","7z","1","2025-12-03 15:25:06","2025-12-03 15:25:06"

"93","X5M PRO","320","Android 14 Ugoos X5M Pro Firmware v. 2.0.5","","https://mega.nz/file/Go8kSJQJ#8QdcqCEPB3_zbR8crfn02qla2Qnf91u48yGIV1qMA-c","1.06Gb","7z","1","2025-12-17 09:21:43","2025-12-17 09:21:43"
"93","X5M PRO","315","Android 14 Ugoos X5M Pro Firmware v. 2.0.4","","https://mega.nz/file/v5Mw2IYT#V2hxygomu0X6Ay5NAYIa4xa-OjCYsB-zjm8OqtPcNas","1.06Gb","7z","1","2025-12-03 15:26:10","2025-12-03 15:26:10"
"92","X5M PRO","310","Ugoos Ulauncher 1.7.14","https://ugoos.com/files/uploads/dc5fb1e65ec9dc3e28e240cfe1ed23a2.apk","","11.6Mb","apk","1","2025-11-30 14:06:00","2025-11-30 14:06:00"
"93","X5M PRO","303","Android 14 firmware V. 1.2.0 for Ugoos X5M PRO","","https://mega.nz/file/P0VGQbZC#23ZHG_hmSDZYBrj0_fGMGe-PANFTf7PDx3GyWkYIhbY","1205.7Mb","7z","2","2025-08-26 08:27:50","2025-08-26 08:27:50"
"93","X5M PRO","302","Android 14 firmware V. 1.1.0 for Ugoos X5M PRO","","https://mega.nz/file/akcXjKwL#ih_aUCv_fHuAV3HI1cmr1TtW-M86XyymRgu8M1PBByM","1450.7Mb","7z","2","2025-07-18 20:25:48","2025-07-18 20:25:48"

"92","Ugoos AM9 64bit","318","Android 14 Ugoos AM9 Firmware v. 2.0.5","","https://mega.nz/file/CxtFwYrD#t8ZjQHXh9DxK1ZYWtpvZFj5Qi48rJegRf-WHk9Scruw","1.06Gb","7z","1","2025-12-17 09:18:42","2025-12-17 09:18:42"
"92","Ugoos AM9 64bit","313","Android 14 Ugoos AM9 Firmware v. 2.0.4","","https://mega.nz/file/LskzRSya#lgmvgPFogc3PQLktMEAb0zUDeCbmP2IoJoubuCtjJlg","1.06Gb","7z","1","2025-12-03 15:23:46","2025-12-03 15:23:46"
"92","Ugoos AM9 64bit","310","Ugoos Ulauncher 1.7.14","https://ugoos.com/files/uploads/dc5fb1e65ec9dc3e28e240cfe1ed23a2.apk","","11.6Mb","apk","1","2025-11-30 14:06:00","2025-11-30 14:06:00"
"92","Ugoos AM9 64bit","304","Android 14 firmware V. 1.2.0 for Ugoos AM9","","https://mega.nz/file/nxFwCYSR#Ku5QEO1nTKSeQvEg9khsFdK5qnovpB8z0hsH4DTQorE","1205.7Mb","7z","2","2025-08-26 08:31:17","2025-08-26 08:31:17"
"92","Ugoos AM9 64bit","301","Android 14 firmware V. 1.1.0 for Ugoos AM9","","https://mega.nz/file/DodD2ZrK#olnIvAC8-SMysW_kLmtg2B1_TNdTXCYI7_Ra5xtXHZs","1405.7Mb","7z","2","2025-07-18 20:23:36","2025-07-18 20:23:36"


"85","Ugoos SK1 8/128 GB","317","Android 14 Ugoos SK1 Firmware v. 2.0.5","","https://mega.nz/file/j9NCWZ7I#fDckhVTrK3aSFU0qVEbvHFVl6PVby5egp0N9f2orGn8","1.06Gb","7z","1","2025-12-17 09:06:26","2025-12-17 09:06:26"
